ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,timestamp
0.27,0.04,-0.96,-0.03,9.53,0.90,-0.32,0.88,0.36,4.98,1.10,0.67,1764277161.3489845
0.27,0.04,-0.96,-0.98,7.33,3.12,-0.32,0.88,0.35,5.28,0.07,0.01,1764277161.367634
0.28,0.02,-0.96,-1.85,6.91,3.66,-0.32,0.87,0.35,5.08,0.02,0.14,1764277161.385354
0.29,0.00,-0.96,-1.45,6.05,-0.50,-0.32,0.87,0.34,3.12,1.09,0.10,1764277161.4028752
0.30,0.02,-0.94,-1.77,4.15,0.65,-0.33,0.87,0.36,1.82,1.27,-0.26,1764277161.421616
0.28,0.04,-0.96,-0.08,1.71,0.77,-0.33,0.88,0.36,1.80,0.15,-0.02,1764277161.4394205
0.28,0.03,-1.00,-2.31,4.02,1.02,-0.33,0.88,0.37,2.07,0.44,0.44,1764277161.4568965
0.27,0.03,-1.00,-1.51,7.99,1.06,-0.33,0.88,0.36,2.60,1.46,0.07,1764277161.474933
0.28,0.03,-0.98,-1.20,9.78,0.85,-0.33,0.88,0.36,3.22,1.44,-0.09,1764277161.4949057
0.29,0.02,-0.95,-2.15,9.11,0.87,-0.33,0.88,0.37,3.85,1.31,-0.52,1764277161.5120475
0.29,0.02,-0.96,-0.25,5.66,2.44,-0.33,0.88,0.36,2.81,0.84,0.39,1764277161.530286
0.28,0.00,-0.98,-0.18,5.05,-0.57,-0.33,0.88,0.36,2.85,1.76,1.02,1764277161.5481532
0.30,0.05,-0.95,-0.89,3.95,0.82,-0.33,0.88,0.36,3.01,1.75,0.31,1764277161.566133
0.30,0.02,-0.98,0.01,2.35,1.49,-0.33,0.88,0.36,1.79,3.69,-0.96,1764277161.5862243
0.28,0.04,-1.01,0.31,5.30,-2.46,-0.34,0.88,0.37,2.92,4.16,-1.31,1764277161.6019976
0.28,0.02,-0.99,2.37,6.12,1.01,-0.33,0.89,0.37,3.05,4.50,-1.02,1764277161.6191819
0.30,0.02,-0.96,2.16,5.25,-0.47,-0.34,0.88,0.36,2.90,4.60,-0.21,1764277161.6377332
0.29,0.01,-1.00,0.16,5.14,-1.61,-0.35,0.88,0.36,2.29,4.89,0.73,1764277161.6545537
